"Source:","/home/strav/devel/diy-synth/noise/noise/noise.kicad_sch"
"Date:","Sun 21 Aug 2022 01:23:40 PM EDT"
"Tool:","Eeschema 6.0.7-f9a2dced07~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","38"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comment","Manufacturer","Manufacturer Part No.","Supplier","Supplier Part No."
"","","R9","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF1002A50","Tayda","A-2203"
"","","R10","47k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF4702A50","Tayda","A-2279"
"","","R11","20k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF2002A50","Tayda","A-2339"
"","","R12","470k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF4703A50","Tayda","A-2180"
"","","R13","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF1003A50","Tayda","A-2248"
"","","R14","22k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF2202A50","Tayda","A-2339"
"","","R15","33k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF3302A50","Tayda","A-2290"
"","","R16","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF1003A50","Tayda","A-2248"
"","","R17","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF1001A50","Tayda","A-2200"
"","","R18","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF1001A50","Tayda","A-2200"
"","","R19","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF1001A50","Tayda","A-2200"
"","","U1","TL074","Amplifier_Operational:TL074","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf","","VARIOUS","TL074CN","Tayda","A-1138"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comment","Manufacturer","Manufacturer Part No.","Supplier","Supplier Part No."
"1","2","C1, C2","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","Electrolytic","AISHI","WK1CM100D11OT","Tayda","A-3931"
"2","1","C3","1uF","Device:C","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~","Film","WIMA","MKS2B041001C00KSSD","Tayda","A-3290"
"3","2","C4, C11","5n6","Device:C","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~","Film","ARCOTRONICS","5.6nF/100V","Tayda","A-423"
"4","2","C5, C8","2n2","Device:C","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~","Film","WIMA","FKS2D012201A00JSSD","Tayda","A-935"
"5","2","C6, C7","680p","Device:C","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~","Film","WIMA","FKP2O106801G00JSSD ","Mouser"," 505-FKP2680/1000/5 "
"6","2","C9, C10","0.1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","Ceramic","AEC","0.1uF 50V Ceramic Disc Capacitor","Tayda","A-4008"
"7","2","D1, D2","1N5818","Diode:1N5818","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","","TEC","1N5817","Tayda","A-252"
"8","1","J1","Power Connector","Connector_Generic:Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~","","ULO Group","BHD10PHZT","Tayda","A-2939"
"9","1","J2","WHITE_OUT","Connector:AudioJack2_SwitchT","Tayda_Jacks:PJ-323M","~","","Tayda","PJ-323M","Tayda","A-2557"
"10","1","J3","BLUE_OUT","Connector:AudioJack2_SwitchT","Tayda_Jacks:PJ-323M","~","","Tayda","PJ-323M","Tayda","A-2557"
"11","1","J4","PINK_OUT","Connector:AudioJack2_SwitchT","Tayda_Jacks:PJ-323M","~","","Tayda","PJ-323M","Tayda","A-2557"
"12","1","Q1","BC548","Transistor_BJT:BC548","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","","KEC","BC548B","Tayda","A-141"
"13","6","R1, R2, R4, R5, R13, R16","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF1003A50","Tayda","A-2248"
"14","1","R3","680","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF6800A50","Tayda","A-2281"
"15","1","R6","4.7k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF4701A50","Tayda","A-2310"
"16","1","R7","1M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF1004A50","Tayda","A-2277"
"17","2","R8, R12","470k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF4703A50","Tayda","A-2180"
"18","1","R9","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF1002A50","Tayda","A-2203"
"19","1","R10","47k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF4702A50","Tayda","A-2279"
"20","1","R11","20k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF2002A50","Tayda","A-2339"
"21","1","R14","22k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF2202A50","Tayda","A-2339"
"22","1","R15","33k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF3302A50","Tayda","A-2290"
"23","3","R17, R18, R19","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","Royal Ohm","MF0W4FF1001A50","Tayda","A-2200"
"24","1","U1","TL074","Amplifier_Operational:TL074","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf","","VARIOUS","TL074CN","Tayda","A-1138"
